video_id	title	upload_date
nbZA4N7BDCU	Terence Tao: What's Next for SAIR Competitions	NA
tJjWpiKRBO8	A Conversation with Yannis Ioannidis, ACM's Longest-Serving President	NA
jLFMJj3gpf8	Alex Oshmyansky: How Cost Plus Drugs Is Rebuilding Prescription Drug Pricing	NA
c5OuM-qfk1U	Introducing SAIR API	NA
kByZnD6UJnM	Panel Discussion - Builders x AI	NA
SpYjCxpbQxQ	Modular Arithmetic Challenge: SAIR Playground Guide	NA
X2wy8KigALE	Title: Panel Discussion: AI x Open Data	NA
WMo-RmSJQpE	Carina Hong: Frontiers of AI for Mathematical Research	NA
n5pqWNHAzfw	Compression is all you need: Modeling mathematics	NA
gjmxJ6YtWHk	Tom Kalil: Funding AI for Science Through Public Goods and Philanthropy	NA
mKff1ogIKbQ	David Patterson & Andy Konwinski: How to Accelerate Frontier Science	NA
9SAKeg5aUCo	Panel Discussion - AI x Life Science	NA
